2.532886691356079041e+02 2.033278832768628774e+02 7.504924749822708963e-01
2.532539726315236521e+02 2.034438841173534911e+02 7.884721456150027841e-01
2.532941585900769610e+02 2.035276967930029173e+02 8.062143776429491204e-01
2.533586793790875333e+02 2.036884406272161243e+02 8.333858639981088778e-01
2.533385601344785130e+02 2.040947784519213144e+02 5.516507761405720078e-01
2.531206760696556728e+02 2.041501063745961631e+02 3.673994694402857863e-01
2.526520500091928625e+02 2.045291676516166319e+02 1.664434113413705285e-01
2.524666167625351250e+02 2.049531163816878063e+02 5.502587135240196575e-02
2.523998896856039664e+02 2.050311244188795285e+02 4.805242560344601122e-02
2.523227090063824676e+02 2.050828802563496538e+02 4.409949307908491573e-02
2.523328080266855693e+02 2.051743492763901031e+02 4.294381845402253650e-02
2.523661518661518528e+02 2.052539069681926946e+02 4.197200115567462780e-02
2.523678328474246939e+02 2.053229059963753969e+02 3.473590208284085823e-02
2.523550810285504156e+02 2.053146324166732200e+02 3.224069550600162926e-02
2.523438919969532321e+02 2.053316654847266989e+02 2.810390565492606324e-02
2.522892601055866351e+02 2.052563496441047448e+02 2.647545504688361695e-02
2.522739342841383632e+02 2.052254878785491030e+02 2.401964646862606023e-02
2.521732986630945845e+02 2.051063745961705251e+02 2.116985790455178096e-02
2.521016993670054944e+02 2.050006828986420828e+02 1.828067134189583290e-02
2.520474745882909247e+02 2.049324849630972096e+02 1.649462873952669759e-02
2.520065138024321811e+02 2.048478711948099829e+02 1.402568749507525012e-02
2.520227326451816339e+02 2.048889370419982754e+02 1.632390407900612128e-02
2.520235206051532657e+02 2.048601633703674452e+02 1.633703674520001203e-02
2.520105980616184809e+02 2.048285924408373262e+02 1.615317941848554151e-02
2.519953904341659552e+02 2.048877682347070106e+02 1.516822945394374032e-02
2.519962703228009389e+02 2.049096997872508155e+02 1.420954482178971891e-02
2.519510020224306004e+02 2.048103249021616250e+02 1.125469492816431535e-02
2.519319727891156333e+02 2.047541433561841586e+02 1.158301158301158242e-02
2.518734142305570742e+02 2.046244582775194942e+02 8.706957686549523373e-03
2.519166075696687983e+02 2.046402306096183565e+02 7.958395713497753987e-03
2.519186168675964552e+02 2.046243794815223396e+02 1.142541958868489513e-02
2.519081107346413546e+02 2.046231712762325117e+02 1.176686890972605294e-02
2.519392614188532491e+02 2.046359362277729588e+02 1.159614424920547317e-02
2.519295038478711888e+02 2.046135187665800004e+02 1.132035825913376911e-02
2.519121161978304713e+02 2.045899850287605375e+02 1.193759357024663098e-02
2.518853912221259179e+02 2.045316891235258652e+02 1.159614424920547317e-02
2.518588763690804626e+02 2.045047146271635938e+02 1.128096026055209686e-02
2.518732960365613565e+02 2.045113597562577183e+02 1.070312294802090725e-02
2.519126152391458504e+02 2.045108869802747336e+02 1.044046962414309394e-02
2.519407060121345694e+02 2.045332650434691288e+02 9.941428308775247108e-03
2.519762298741890447e+02 2.045579675885798281e+02 1.139915425629711362e-02
2.520123184408898567e+02 2.046346492264859478e+02 1.135975625771544137e-02
2.521029601029601110e+02 2.047273658498148166e+02 1.191132823785884948e-02
2.521168675964594286e+02 2.047420875686181887e+02 1.422267748798360966e-02
2.521695164552307347e+02 2.047229795393060670e+02 1.719066004780290396e-02
2.521761090536600705e+02 2.047330522942767743e+02 1.547028077640322588e-02
2.521717358758175180e+02 2.047288629737609256e+02 1.486617813148425477e-02
2.521476899640165072e+02 2.047030178866913559e+02 1.494497412864759754e-02
2.520383342526199613e+02 2.045670685262521999e+02 9.810101646836341324e-03
2.519490321225015066e+02 2.045165077614057338e+02 9.902030310193574852e-03
2.518877945000394050e+02 2.043767367951041365e+02 7.958395713497753987e-03
2.517879205736348638e+02 2.042548131221600727e+02 7.354293068578782872e-03
2.517051453786147590e+02 2.040771412812229073e+02 4.845953825545662279e-03
2.516316287132613638e+02 2.039277572032674186e+02 3.887269193391642164e-03
2.516319438972500109e+02 2.038460194888766353e+02 3.270033882278780297e-03
2.516786699235678952e+02 2.037709925669109339e+02 3.493289207574921777e-03
2.516841987760355153e+02 2.037589630446773299e+02 3.690279200483282188e-03
2.517064323799017700e+02 2.037758385207364711e+02 3.939799858167204738e-03
2.517169253801906734e+02 2.037467890631155853e+02 3.467023875187140707e-03
2.518091692275365858e+02 2.038791269403514264e+02 4.018595855330549249e-03
2.520517558374701252e+02 2.044535891576707911e+02 1.168807291256270843e-03
2.520766422399075566e+02 2.044569248548840505e+02 1.076878627899036014e-03
2.520685525175321118e+02 2.044488613978410001e+02 1.024347963123473223e-03
2.520782706905155806e+02 2.045125942268799406e+02 1.076878627899036014e-03
2.521459827174113002e+02 2.045704173561316281e+02 1.050613295511254727e-03
2.521674940246368806e+02 2.045917842040290964e+02 1.392062616552412540e-03
2.521708297218501400e+02 2.046089485987445187e+02 2.560869907808683166e-03
2.521641845927560155e+02 2.046108003046778663e+02 1.510256612297428656e-03
2.521536127964699290e+02 2.045884222414834710e+02 1.273868620807396424e-03
2.520664381582749058e+02 2.044506343077771646e+02 1.549654610879100695e-03
2.520111496335986203e+02 2.043612402489953581e+02 7.879599716334409910e-04
2.519643448112835813e+02 2.042874083996532875e+02 8.536233026028944250e-04
2.519080188059780028e+02 2.041951382869750091e+02 7.879599716334409910e-04
2.518071205316103374e+02 2.040239539831376590e+02 6.960313082762062701e-04
2.517681165130144620e+02 2.039621779213615866e+02 7.879599716334409910e-04
2.518501431460615265e+02 2.040289312636251395e+02 1.221337956031833634e-03
2.518737819452105100e+02 2.040686181808630693e+02 9.980826307356919364e-04
2.518861003861003951e+02 2.040782575578493834e+02 6.041026449189714409e-04
2.519012554828881321e+02 2.041036430016021939e+02 6.697659758884248749e-04
2.519096341239198296e+02 2.041084364247629424e+02 6.566333096945342314e-04
2.518794552570062706e+02 2.040647440443358676e+02 5.647046463372994022e-04
2.518422766790113769e+02 2.040121214508969558e+02 5.778373125311900456e-04
2.518139495180311371e+02 2.039796443673994588e+02 6.041026449189714409e-04
2.518105350248207515e+02 2.039185118062669062e+02 5.384393139495180069e-04
2.517733958448244209e+02 2.038641163028918015e+02 6.566333096945342314e-04
2.517821553331757514e+02 2.038454416515641014e+02 1.116276626480708052e-03
2.517455414598271659e+02 2.037984661045885559e+02 1.221337956031833634e-03
2.517862789903606142e+02 2.038313371680718546e+02 1.221337956031833634e-03
2.518055052136684822e+02 2.038491844614293598e+02 1.759777269981351640e-03
2.518085519922254605e+02 2.038515352086780581e+02 1.943634596695821082e-03
2.517622199458934062e+02 2.037474062984267107e+02 1.654715940430226059e-03
2.516833845507314891e+02 2.036288051900296807e+02 1.234470622225724169e-03
2.516716176818217718e+02 2.036183515877393404e+02 1.287001287001286959e-03
2.516780789535891643e+02 2.035948309825860747e+02 1.090011294092926766e-03
2.516497649252751216e+02 2.035439156357523700e+02 1.103143960286817517e-03
2.516817823654558310e+02 2.035638772883670811e+02 1.589052609460772734e-03
2.517346676122186295e+02 2.036096446300527987e+02 2.088093924828618702e-03
2.518399521970950445e+02 2.037597378719827645e+02 1.786042602369132927e-03
2.519897696530349549e+02 2.040169805373886902e+02 3.073043889370419886e-03
2.522400782706905034e+02 2.043990360623013771e+02 4.937882488902896674e-03
2.523208179024505569e+02 2.046356998397814664e+02 6.211751109710293532e-03
2.524003624615869512e+02 2.048041394163843165e+02 5.489454469046305650e-03
2.524848186378798687e+02 2.051016862343392972e+02 7.682609723426049933e-03
2.524948125968534214e+02 2.052113571297244903e+02 8.509967693641163830e-03
2.524799726840543030e+02 2.053450214062459054e+02 9.442386993407402007e-03
2.524991463766974107e+02 2.058088277782155444e+02 8.286712368345021049e-03
2.525929398786541640e+02 2.063373781945210510e+02 3.166285819347043617e-02
2.525316234601948793e+02 2.081224489795918373e+02 5.217608278832768648e-02
2.525737399206786904e+02 2.089728285136448278e+02 2.560869907808683427e-02
2.525206576839229911e+02 2.098534394452761660e+02 1.652089407191447909e-02
2.526189294250518742e+02 2.101223570509284855e+02 2.090720458067396939e-02
2.526008063457043136e+02 2.101813227221390434e+02 1.969899929083602716e-02
2.524080976019751574e+02 2.098942032411420087e+02 1.686234339295563864e-02
2.522961941533370123e+02 2.097819846085152165e+02 1.518136212013763107e-02
2.519343760670291203e+02 2.087221915793344351e+02 9.849499645418013580e-03
2.518851417014682283e+02 2.086198355790192522e+02 1.126782759435820611e-02
