Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000001,0.0467975817790669,8.210305623833161,-106.7313242473351
1.207758971569129,0.06135530663229423,9.698251249803949,-109.5339808804794
1.458681733405716,0.04933483077943647,11.12874659170482,-112.7073920324245
1.761735950184757,0.03271129666447426,12.51946982453034,-116.3880560145599
2.127752399371502,0.05048051725340041,13.77193708019607,-120.7012357456415
2.569812049618664,0.03990153900266947,14.95779568129155,-125.3931358494391
3.103713558173389,0.03626716127073704,15.99132822009936,-130.4499196949399
3.748537895064645,0.05521467711015302,16.86052435952373,-135.660227414022
4.527330273031176,0.03656043701422385,17.62636523107415,-140.8441676723856
5.467923754509903,0.05504025068247717,18.21637115451173,-145.9751857446152
6.60393397036528,0.0486654911634942,18.66276401487023,-150.7167440739094
7.975960500358793,0.05481960307176992,19.00736787393324,-155.1520969331864
9.633037851189307,0.03887673813689364,19.27506696901192,-159.0003067354934
11.63438788823887,0.04304384041302847,19.46414773966135,-162.3905349507286
14.05153635073567,0.04902404685810195,19.59165409311858,-165.3534602362605
16.97086909193071,0.05061612907073108,19.68732152716128,-167.8981330236115
20.4967194011045,0.04836659815371269,19.76143314512739,-170.0361291687541
24.75509674441894,0.04564259797668588,19.81014954955834,-171.8863075865382
29.89819018513364,0.06691954926575401,19.8231088064636,-173.463730912449
36.10980742977517,0.05780667993768863,19.85416435885036,-174.849870764207
43.61194388494448,0.04852867400951731,19.87608525891129,-175.8698770685
52.67271649461103,0.0489859910827603,19.88672017165468,-176.9090541463394
63.61594590328355,0.0559765483192872,19.88074575205306,-177.9177758274986
76.83272939954696,0.05355788775483213,19.89164466242586,-178.7685732384388
92.79541824244579,0.05306943817745097,19.90433274721273,-179.471119423061
112.0744989028233,0.06333351990829356,19.8954781669445,179.6899391625177
135.358981533999,0.0398844690236765,19.90546734672726,178.8633161588309
163.4810243301469,0.03890044828667429,19.91653954415398,177.9231564545957
197.4456738160457,0.05537850803401848,19.8926773761306,177.0069088065708
238.4667839488405,0.05976793173239536,19.88572216654954,176.0238923785615
288.0103977354489,0.05247057899458229,19.87031353292829,174.7931591074221
347.8471417701808,0.06874044796641096,19.83779033828693,173.5339345621922
420.1155062076133,0.03614424983778625,19.83289520302835,171.9602030673965
507.3982717175502,0.05507569432527507,19.77777741144522,170.2380524182088
612.8148148255407,0.04520660186327985,19.72310438311015,167.9618789647616
740.1325905160201,0.05849970833758095,19.62801428434018,165.4395478963882
893.9017763464219,0.06637532518016326,19.4877227701388,162.4712313038637
1079.617890083969,0.04596236941301986,19.32853933285434,159.1269662285179
1303.918192615445,0.04197349753017356,19.06770098116881,154.9458251752333
1574.818895323504,0.03546554708742367,18.72703715315609,150.5761526376296
1902.001649423544,0.04508635012136947,18.28443845773673,145.554552312947
2297.159556030562,0.03944755095787887,17.70227779621041,140.5677214427849
2774.415062921661,0.05824313845789741,16.93430385262162,135.0781084979748
3350.824683100158,0.01012784088528524,16.08987049232409,129.5453660111599
4046.988573169492,0.01924018837835044,15.07465071417406,124.4280960882163
4887.786757083194,0.08307569074457929,13.85375013319335,119.3308971673157
5903.268306983995,0.06814698577644948,12.52622895865534,115.0811148248835
7129.725259339603,0.05587037851608438,11.18384990300035,110.9391555148827
8610.989646790424,0.06622956324740384,9.713096161398811,107.3104183555237
10400,0.100803418258549,8.190565515320085,104.3576606987711
