Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000001,0.04368895599367417,8.925791649807525,-108.3347454797031
1.207758971569129,0.05279467397181585,10.3755328002986,-111.1609998785274
1.458681733405716,0.02243931128823304,11.82138933473463,-114.8211125826388
1.761735950184757,0.03611160368110608,13.1444636269241,-118.6021682828595
2.127752399371502,0.04097606858885162,14.36324339899084,-123.129682354318
2.569812049618664,0.04184348675431875,15.45684955050041,-127.8936695923632
3.103713558173389,0.04247686320977787,16.42436058955564,-132.9592553266542
3.748537895064645,0.03878600096889196,17.23207405864396,-138.240414841045
4.527330273031176,0.05863731400599126,17.89634229637429,-143.391584783373
5.467923754509903,0.05292094535014019,18.41630013020325,-148.2845341391221
6.60393397036528,0.04218488723071274,18.84683928374752,-152.7328120234503
7.975960500358793,0.04787374468051406,19.14528594178378,-156.9426969103062
9.633037851189307,0.04496072894476907,19.37846371886855,-160.6690624480835
11.63438788823887,0.04400787902615443,19.53692113303085,-163.7665469109434
14.05153635073567,0.0308175953005192,19.65988448845956,-166.5862821760914
16.97086909193071,0.05671764121332964,19.73057090769597,-168.8275453735482
20.4967194011045,0.04613556810155167,19.7943070584149,-170.8050071796965
24.75509674441894,0.03492805474682318,19.84090509833908,-172.4842550029335
29.89819018513364,0.0468191304706521,19.851613094971,-173.9769510294749
36.10980742977517,0.03145671327107164,19.89800551333578,-175.2175830105854
43.61194388494448,0.03743274430635275,19.96120760855219,-175.8729355432029
52.67271649461103,0.05061963879714095,20.06605088758058,-177.3663865075545
63.61594590328355,0.05404515184556451,19.90065334782235,-178.159449643937
76.83272939954696,0.05311550018272527,19.91442777103639,-178.892134936672
92.79541824244579,0.03806837156986277,19.92374095631983,-179.5858591482337
112.0744989028233,0.04021916664943306,19.94472683523978,179.4854507698641
135.358981533999,0.03548279822598873,19.96630054066264,178.8250416382101
163.4810243301469,0.04102261925940573,19.88778297125836,177.861852886105
197.4456738160457,0.04390884250405663,19.91908933735217,177.0775072766608
238.4667839488405,0.03979591160983423,19.90470643008603,176.0244347630443
288.0103977354489,0.02537166941313241,19.91244532964938,174.8175549267617
347.8471417701808,0.01743453505310757,19.90823762970226,173.4959018465194
420.1155062076133,0.05444028341622069,19.84613892265329,171.9956421385707
507.3982717175502,0.04492618548134107,19.81278029591221,170.2271517844915
612.8148148255407,0.02946560818204077,19.75831453111453,168.0517751946757
740.1325905160201,0.04723881351294797,19.65872283912811,165.5015442557747
893.9017763464219,0.03283116526002396,19.53820352102366,162.5690470240237
1079.617890083969,0.04370850406031564,19.36204483624241,159.0766837418267
1303.918192615445,0.01738708579877886,19.13664559276894,155.2405248721525
1574.818895323504,0.01893035368858799,18.79859422559682,150.7770850491209
1902.001649423544,0.02179049572143532,18.33814667791857,146.0327195286688
2297.159556030562,0.02714556969143649,17.75748707129319,140.5801255439778
2774.415062921661,0.06471356433678009,17.01004375362636,135.1522328254394
3350.824683100158,0.05719167461945417,16.14419083198144,129.9281014632415
4046.988573169492,0.05991064151016004,15.08823022130958,124.6030294783464
4887.786757083194,0.06934035809837009,13.9067756948532,119.5284750715177
5903.268306983995,0.05411300767384757,12.62950560447695,115.1071438854019
7129.725259339603,0.04427382971107601,11.27846080701667,110.8178829736833
8610.989646790424,0.07366208028448873,9.807477907126072,107.6508223253801
10400,0.06497844264695542,8.313967676337388,104.2869447246463
