Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000001,0.03545755921206552,8.027992505098641,-117.7080528795421
1.207758971569129,0.0559320216278245,9.449648276742092,-117.7463799821979
1.458681733405716,0.05097064953076668,10.87106468572404,-119.1192686876269
1.761735950184757,0.04899195062904027,12.22717275257655,-121.3742470284324
2.127752399371502,0.04960951261816011,13.51464967374913,-124.5079516734043
2.569812049618664,0.04847327678939205,14.69671291450508,-128.2130102428104
3.103713558173389,0.04776788816502586,15.75271839931499,-132.5114273575945
3.748537895064645,0.02864607741094894,16.70085056661445,-137.2065594224964
4.527330273031176,0.04554201732029139,17.46221462307767,-141.8104323913392
5.467923754509903,0.03274984788413565,18.09185862890916,-146.6444225001134
6.60393397036528,0.04429572970413473,18.57452486744501,-151.1442609135545
7.975960500358793,0.0608337123434232,18.93598862257119,-155.4078376991233
9.633037851189307,0.05224814902203125,19.20667512895214,-159.2375176152244
11.63438788823887,0.05157450375541425,19.41180158506633,-162.5548561785081
14.05153635073567,0.05496509687836905,19.5590131091721,-165.5178725787167
16.97086909193071,0.06398062808563879,19.65237878861371,-167.9123505267769
20.4967194011045,0.05475351959625911,19.73591317227935,-170.0840982190628
24.75509674441894,0.04218761546809709,19.7930201115719,-171.9021552451397
29.89819018513364,0.04414577377872488,19.83087983212819,-173.5071229493058
36.10980742977517,0.04301563177822748,19.86113458624325,-174.8111795672139
43.61194388494448,0.04935979145990462,19.86106312004607,-175.8479625094555
52.67271649461103,0.05525390075275946,19.87799963576003,-176.9981113416915
63.61594590328355,0.07936032355840837,19.86686943646222,-177.9539564340119
76.83272939954696,0.06021559378157701,19.88665678254866,-178.7875052583486
92.79541824244579,0.04617807703713079,19.8984404372822,-179.5181019311141
112.0744989028233,0.04857937649977377,19.90587669640506,179.6662932271249
135.358981533999,0.043004652413558,19.9061454967711,178.7023019114525
163.4810243301469,0.0453448568309341,19.89690160422416,177.9894624230564
197.4456738160457,0.0617738358225762,19.88625880871438,177.0147085818011
238.4667839488405,0.0525918381832496,19.87312831295728,176.0716944449648
288.0103977354489,0.05042838125464741,19.87548734822639,174.9114533700359
347.8471417701808,0.05800977691074404,19.83428289624532,173.437672084643
420.1155062076133,0.04193378943401178,19.82739820403498,171.9466277736271
507.3982717175502,0.05548811601714973,19.77229629459387,170.0629806449944
612.8148148255407,0.02956750959851885,19.73737960859451,168.0827180226385
740.1325905160201,0.07547478773718941,19.61225134186141,165.4782739427981
893.9017763464219,0.03105468973762217,19.50791481300075,162.5077740854965
1079.617890083969,0.09985336936480523,19.27780952673486,158.9374574675386
1303.918192615445,0.03760945599389437,19.06798980246389,155.0217772835795
1574.818895323504,0.05988637123453878,18.71677708512652,150.5732069189987
1902.001649423544,0.05967277302340673,18.26354876065933,145.7723042391737
2297.159556030562,0.02774469984144064,17.68884959732237,140.5841232558979
2774.415062921661,0.04241782743835562,16.95590969577649,134.9458617764116
3350.824683100158,0.008256746220540456,16.06995361660847,129.6588199259495
4046.988573169492,0.05497101501528613,14.98808913198521,124.4423178434659
4887.786757083194,0.09129529738660866,13.79208264321602,119.6383739941815
5903.268306983995,0.01950028375011593,12.56643202045888,114.9704197479635
7129.725259339603,0.07538012472165545,11.12960613162939,111.0478972450315
8610.989646790424,0.05383351244578172,9.708539621452351,107.4901640055736
10400,0.08257454416844329,8.199348807236731,104.6416287562427
